english	mandarin
LORONG 27A GEYLANG	芽笼27A巷
LORONG 28 GEYLANG	芽笼28巷
LORONG 29 GEYLANG	芽笼29巷
LORONG 3 GEYLANG	芽笼3巷
LORONG 3 TOA PAYOH	大巴窑3巷
LORONG 30 GEYLANG	芽笼30巷
LORONG 31 GEYLANG	芽笼31巷
LORONG 32 GEYLANG	芽笼32巷
LORONG 33 GEYLANG	芽笼33巷
LORONG 34 GEYLANG	芽笼34巷
LORONG 35 GEYLANG	芽笼35巷
LORONG 36 GEYLANG	芽笼36巷
LORONG 37 GEYLANG	芽笼37巷
LORONG 38 GEYLANG	芽笼38巷
LORONG 39 GEYLANG	芽笼39巷
LORONG 4 GEYLANG	芽笼4巷
LORONG 4 REALTY PARK	实业园4巷
LORONG 4 TOA PAYOH	大巴窑4巷
LORONG 40 GEYLANG	芽笼40巷
LORONG 41 GEYLANG	芽笼41巷
LORONG 42 GEYLANG	芽笼42巷
LORONG 44 GEYLANG	芽笼44巷
LORONG 5 REALTY PARK	实业园5巷
LORONG 5 TOA PAYOH	大巴窑5巷
LORONG 6 GEYLANG	芽笼6巷
LORONG 6 REALTY PARK	实业园6巷
LORONG 6 TOA PAYOH	大巴窑6巷
LORONG 7 GEYLANG	芽笼7巷
LORONG 7 REALTY PARK	实业园7巷
LORONG 7 TOA PAYOH	大巴窑7巷
LORONG 8 GEYLANG	芽笼8巷
LORONG 8 TOA PAYOH	大巴窑8巷
LORONG 8A TOA PAYOH	大巴窑8A巷
LORONG 9 GEYLANG	芽笼9巷
LORONG ABU TALIB	罗弄阿武达立
LORONG AH SOO	罗弄阿苏
LORONG AH THIA	罗弄亚程
LORONG AMPAS	罗弄安拔士
LORONG ASRAMA	罗弄阿士拉马
LORONG BACHOK	罗弄巴祝
LORONG BAKAR BATU	罗弄巴卡巴株
LORONG BANDANG	罗弄班当
LORONG BATAWI	罗弄巴达威
LORONG BEKUKONG	罗弄柏古岗
LORONG BENGKOK	罗弄明园
LORONG BIAWAK	罗弄比阿华
LORONG BISTARI	罗弄比士达里
LORONG BUANG KOK	lian
LORONG BUNGA	罗弄文雅
LORONG CHENCHARU	罗弄真查鲁
LORONG CHUAN	罗弄泉
Lorong Chuan MRT Station	罗弄泉地铁站
LORONG DANGAI	罗弄丹开
LORONG G TELOK KURAU	直落古楼罗弄G
LORONG GAMBIR	罗弄甘必
LORONG H TELOK KURAU	直落古楼罗弄H
LORONG HALUS	罗弄哈鲁士
LORONG HALWA	罗弄哈哇
LORONG HOW SUN	罗弄禾山
LORONG J TELOK KURAU	直落古楼罗弄J
LORONG K TELOK KURAU	直落古楼罗弄K
LORONG KEBASI	罗弄可巴希
LORONG KEMBANG	罗弄肯邦
LORONG KEMBANGAN	罗弄景万岸
LORONG KEMUNCHUP	罗弄可萌竹
LORONG KILAT	罗弄基叻
LORONG KISMIS	罗弄吉士美
LORONG L TELOK KURAU	直落古楼罗弄L
LORONG LADA HITAM	罗弄拉打依淡
LORONG LEW LIAN	罗弄榴梿
LORONG LIMAU	罗弄柠檬
LORONG LIPUT	罗弄力步
LORONG LOW KOON	罗弄刘坤
LORONG M TELOK KURAU	直落古楼罗弄M
LORONG MAMBONG	罗弄曼蒙
LORONG MARICAN	罗弄马利甘
LORONG MARZUKI	罗弄马裕基
LORONG MEGA	罗弄美佳
LORONG MELAYU	罗弄马来由
LORONG MYDIN	罗弄迈丁
LORONG N TELOK KURAU	直落古楼罗弄N
LORONG NAPIRI	罗弄纳比利
LORONG ONG LYE	罗弄黄梨
LORONG PANCHAR	罗弄班查
LORONG PASU	罗弄巴素
LORONG PAYA LEBAR	罗弄巴耶利巴
LORONG PAYAH	罗弄巴牙
LORONG PENCHALAK	罗弄本查拉
LORONG PENDEK	罗弄本德
LORONG PISANG ASAM	罗弄比山阿三
LORONG PISANG BATU	罗弄比山巴株
LORONG PISANG EMAS	罗弄比山恩玛士
LORONG PISANG HIJAU	罗弄比山易照
LORONG PISANG RAJA	罗弄比山拉惹
LORONG PISANG UDANG	罗弄比山拉乌当
LORONG PUNTONG	罗弄本同
LORONG RUSUK	罗弄鲁素
LORONG SALLEH	罗弄沙礼
LORONG SAMAK	罗弄沙末
LORONG SARHAD	罗弄沙哈
LORONG SARI	罗弄莎莉
LORONG SARINA	罗弄莎莉娜
LORONG SELANGAT	罗弄司兰卡
LORONG SEMANGKA	罗弄司芒卡
LORONG SERAMBI	罗弄西兰比
LORONG SESUAI	罗弄西素艾
LORONG SIGLAP	罗弄实乞纳
LORONG SIREH PINANG	罗弄西雷槟榔
LORONG STANGEE	罗弄史丹宜
LORONG TAHAR	罗弄达哈
LORONG TANGGAM	罗弄丹甘
LORONG TAWAS	罗弄大华士
LORONG TELOK	罗弄直落
LORONG TEMECHUT	罗弄德美珠
Lost And Found Counter	失物认领处
LOTHIAN TERRACE	罗天台
LOTUS AVENUE	莲花道
Louis Ng Kok Kwang	黄国光
Love is the bond that unites us as one people	爱是团结你我的力量
Loving Singapore, Our Home	爱在新加坡，我们的家
Loving Singapore: One Heart, One Voice	众口同心
LovingSG Trail	爱在新加坡之旅
LovingSG Website	爱在新加坡网站
LovingSG: One Heart, One Voice	同心齐唱
Low Leng Association	刘陇同乡会
Low Thia Khiang	刘程强
Low Yen Ling	刘燕玲
LOWER DELTA FLYOVER	立达下段立交桥
LOWER DELTA ROAD	立达路下段
LOWER KENT RIDGE ROAD	肯特岗路下段
LOWER RING ROAD	下环路
LOWER SELETAR CLOSE	实里达弄下段
Lower-to middle-income households	中低收入家庭
LOWLAND ROAD	罗兰路
LOYANG AVENUE	罗央道
LOYANG BESAR CLOSE	罗央勿刹弄
LOYANG CLOSE	罗央弄
LOYANG CRESCENT	罗央弯
LOYANG DRIVE	罗央通道
LOYANG FLYOVER	罗央立交桥
LOYANG LANE	罗央巷
LOYANG LINK	罗央连路
LOYANG PLACE	罗央坊
LOYANG RISE	罗央坡
LOYANG STREET	罗央街
LOYANG TERRACE	罗央台
LOYANG VIEW	罗央景
LOYANG WALK	罗央径
LOYANG WAY	罗央大道
LOYANG WAY 1	罗央1大道
LOYANG WAY 2	罗央2大道
LOYANG WAY 4	罗央4大道
LOYANG WAY 6	罗央6大道
LTA Academy	陆路交通学院
LTA Cares Fund	陆交局关怀基金
LUCKY CRESCENT	幸福弯
LUCKY GARDENS	幸福花园
LUCKY HEIGHTS	幸福岭
LUCKY RISE	幸福坡
LUCKY VIEW	幸福景
LUDLOW PLACE	勒罗坊
Lui Chiu Hoe Kuan	雷州会馆
LUTHERAN ROAD	路德路
Luxury private apartments	豪华私宅
LUXUS HILL AVENUE	豪景山道
LUXUS HILL DRIVE	豪景山通道
LUXUS HILL HEIGHTS	豪景山岭
LUXUS HILL ROAD	豪景山路
LUXUS HILL VIEW	豪景山景
LYNDHURST ROAD	林赫士路
LYNWOOD GROVE	陵兀林
Lyo	乐奥
M3G Military Float Bridge	M3G军用浮筏
MACALISTER ROAD	麦克里斯特路
Mace	权杖
Machine-readable passport	关卡设施可阅读护照
MACKENZIE ROAD	麦肯西路
MACKERROW ROAD	麦克罗路
MacPherson	麦波申
MacPherson Community Club	麦波申民众俱乐部
MACPHERSON LANE	麦波申巷
Macpherson MRT Station	麦波申地铁站
MACPHERSON ROAD	麦波申路
MACRITCHIE VIADUCT	麦里芝高架桥
Macroeconomic Review	宏观经济检讨报告
Macro-economic stability	宏观经济稳定
MACTAGGART ROAD	麦打葛路
MADRAS STREET	马德拉斯街
MAGAZINE ROAD	马可新路 (俗称陈圣王路)
Magistrate Court	推事庭
Magistrates	推事
MAIDA VALE	美达谷
MAIDSTONE ROAD	梅斯顿路
Main Estimates	主体预算
MAIN GATE ROAD	中门路
Main stage	主舞台
Main Upgrading Programme (MUP)	主要翻新计划
Maintenance of Parents Act (MPA)	赡养父母法令
Maintenance of Religious Harmony Act	维持宗教和谐法
Maintenance Orders (Facilities for Enforcement) Act	赡养费判令(强制执行措施)法令
Maintenance Orders (Reciprocal Enforcement) Act	赡养费判令(互惠施行)法令
Maintenance Support Central	赡养费援助中心
Major (MAJ)	少校
Major Crime Division	重大罪案调查署
Major Depression	忧郁症
Major Grant	长年补助金计划
Major-General/Rear Admiral (2 Star) (MG / RADM)	少将/海军少将(二星)
MAJU AVENUE	马裕道
Maju Camp	马裕军营
MAJU DRIVE	马裕通道
Majulah Moment	升旗时刻!
MAKEPEACE ROAD	麦比士路
Make-up Pay	增补工资
MAKEWAY AVENUE	麦克威道
Making Memories Together	我们的集体回忆
MALACCA STREET	马六甲街
MALAN ROAD	马兰路
Malay Activity Executive Committee	马来活动执行委员会
Malay Community Committee	马来社群委员会
Malay Community Sub-Committee	马来族群小组委员会
Malay CultureFest	马来文化节
Malay Heritage Centre (MHC)	马来文化馆
Malay Heritage Foundation	马来传统文化基金
Malay Language Centre of Singapore (MLCS)	新加坡马来文教研中心
Malay Language Council, Singapore	新加坡马来语文理事会
Malay Language Month	马来语言与文化活动月
Malay Programmes Advisory Committee (MPAC)	马来节目咨询委员会
Malay Resource Panel (National Translation Committee)	马来文咨询团(全国翻译委员会)
Malay Traditional Arts Festival	马来传统艺术节
MALCOLM PARK	马康园
MALCOLM ROAD	马康路
Malicious traffic	恶意流量
MALTA CRESCENT	马尔他弯
Managed Security Operation Centre Service	托管式网络安全监控服务
Management Analysis System For Customer Information	公众反馈资料存储系统
Management Systems Standards Committee (MSSC)	管理系统标准委员会
Managing agent (MA)	经营代理
Managing Crisis Behaviour (MCB)	危机应变课程
MANDAI AVENUE	万礼道
Mandai Camp	万礼军营
Mandai Crematorium and Columbarium	万礼火化场及骨灰安置馆
MANDAI ESTATE	万礼园
MANDAI FLYOVER	万礼立交桥
MANDAI LAKE FLYOVER	万礼湖立交桥
MANDAI LAKE ROAD	万礼湖路
MANDAI LAKE ROAD - TRACK 9	万礼湖路9乡道
MANDAI LINK	万礼连路
MANDAI QUARRY ROAD	万礼采石场路
MANDAI ROAD	万礼路
MANDAI ROAD - TRACK 16	万礼路16乡道
MANDAI ROAD - TRACK 7	万礼路7乡道
Mandai Training Village (MTV)	万礼训练村
MANDALAY ROAD	曼德礼路
Mandatory Aftercare Scheme	强制性狱后监督计划
Mandatory Counseling Programme (MCP)	强制辅导计划
Mandatory Energy Labelling Scheme (MELS)	能源标签计划
Mandatory Give Way to Buses Scheme	强制驾车人士让路给巴士计划
Mandatory Retrenchment Notification	强制性裁员通报
Mandatory Standard	强制性标准
MANGIS ROAD	曼基士路
MANILA STREET	马尼拉街
Manpower Service Provider	人力服务供应商
Manual wheelchair ramps	手控轮椅升降板
Manufacturing	制造业产业群
Man-Year-Entitlement (MYE)	建筑业非传统来源外劳配额制
MAPLE AVENUE	美柏道
MAPLE LANE	美柏巷
MAR THOMA ROAD	玛多玛路
MARANG ROAD	玛朗路
MARANTA AVENUE	马连达道
MARGARET DRIVE	玛格烈通道
MARGATE ROAD	马格德路
Marginal tax rate	边际税率
MARGOLIOUTH ROAD	马可柳斯路
MARIA AVENUE	马莉亚道
MARIAM CLOSE	马莉安弄
MARIAM WALK	马莉安径
MARIAM WAY	马莉安道
MARIGOLD DRIVE	玛利哥通道
MARINA AVENUE	滨海道
Marina Barrage (MB)	滨海堤坝
Marina Basin	滨海盆地
Marina Bay Cruise Centre Singapore	新加坡滨海湾游轮中心
Marina Bay Urban Challenge	滨海湾城市挑战
MARINA BOULEVARD	滨海林荫道
Marina Bridge	滨海大桥
Marina Catchment	滨海集水区
Marina Channel	滨海航道
MARINA COASTAL DRIVE	滨海通道
MARINA COASTAL EXPRESSWAY	滨海快速公路
MARINA EAST DRIVE	滨海东通道
MARINA GARDENS DRIVE	滨海花园通道
MARINA GREEN	滨海埔
MARINA GROVE	滨海林
MARINA LINK	滨海连路
MARINA MALL	滨海广场
Marina Reservoir	滨海蓄水池
Marina Reservoir Recirculation Scheme	滨海蓄水池循环计划
MARINA SOUTH DRIVE	滨海南通道
Marina South Pier	滨海南码头
Marina South Pier (MSP) Station	滨海南码头站
Marina South Pier MRT Station	滨海南码头
MARINA VIEW	滨海景
MARINA VIEW LINK	滨海景连路
MARINA WALK	滨海径
MARINA WAY	滨海大道
Marine and Offshore Technology Centre of Innovation (MOT COI)	造船与近海工程创新中心
MARINE CRESCENT	马林弯
MARINE DRIVE	马林通道
Marine Engineering Industry	海事工程业
Marine Fuel Trader	海运燃油商
MARINE PARADE CENTRAL	马林百列中路
Marine Parade Community Club	马林百列民众俱乐部
Marine Parade Family Service Centre	马林百列家庭服务中心
MARINE PARADE FLYOVER	马林百列立交桥
Marine Parade GRC	马林百列集选区
Marine Parade Public Library (MPPL)	马林百列公共图书馆
MARINE PARADE ROAD	马林百列路
Marine Rescue Vessel	海上拯救船艇
MARINE TERRACE	马林台
MARINE VISTA	马林风景路
Maritime and Port Authority of Singapore (MPA)	新加坡海事及港务管理局
Maritime and Port Authority of Singapore Act	新加坡海事及港务管理局法令
Maritime Cluster Fund (MCF)	海事业组合基金
Maritime Heritage Fund	海贸文化遗产资助津贴
Maritime Heritage Trail	海事主题路线游
Maritime Innovation & Technology (MINT) Fund	海事创新与科技基金
Maritime Labour Convention (MLC)	海事劳工公约
Maritime Learning Journey (MLJ)	海事学习旅行
Maritime Port Authority’s Global Internship Award	全球实习工作奖
Maritime Public Leaders' Programme (MPLP)	海事公共领导课程
Maritime Sector Incentive	海事业奖励计划
Maritime Sector Incentive - Approved International Shipping Enterprise Award	海事业奖励计划–特许国际航运企业奖
Maritime Sector Incentive - Maritime Leasing (Container) Award	海事业奖励计划–海事集装箱租赁奖
Maritime Sector Incentive - Maritime Leasing (Ship) Award	海事业奖励计划–海事船舶租赁奖
Maritime Sector Incentive - Shipping-related Support Services Award	海事业奖励计划–航运附属服务奖
Maritime Security and Singapore's Defence	海事安全与新加坡防卫
Maritime Security Task Force	海事保安特遣队
Maritime Singapore Green Initiative (MSGI)	新加坡绿化海事运动
Maritime Singapore Green Pledge	新加坡海事绿色誓约
MARITIME SQUARE	海事广场
Maritime Transformation Programme	海事业转型计划
MaritimeONE	“海事宣导网络”
Market & Audience Development Grant	市场与观众发展补助金
Market Readiness Assistance (MRA)	市场进入协助计划
Market Readiness Assistance Grant (MRA Grant)	市场进入资助金
MARKET STREET	马吉街
Market Support Services Code	电力市场支援服务守则
Marketing Assistance Grant Scheme	营销资助计划
Marketing Toolkit	行销工具箱
MARLENE AVENUE	玛琳道
MARNE ROAD	玛安路
Marriage & Parenthood Package	结婚生子配套
Marriage Convention	婚姻研讨会
Married Child Priority Scheme (MCPS)	已婚子女优先计划
MARSHALL LANE	马绍尔巷
MARSHALL ROAD	马绍尔路
Marsiling Community Club	马西岭民众俱乐部
MARSILING CRESCENT	马西岭弯
MARSILING DRIVE	马西岭通道
MARSILING FLYOVER	马西岭立交桥
MARSILING INDUSTRIAL ESTATE ROAD 1	马西岭工业区1路
MARSILING INDUSTRIAL ESTATE ROAD 10	马西岭工业区10路
MARSILING INDUSTRIAL ESTATE ROAD 2	马西岭工业区2路
MARSILING INDUSTRIAL ESTATE ROAD 3	马西岭工业区3路
MARSILING INDUSTRIAL ESTATE ROAD 4	马西岭工业区4路
MARSILING INDUSTRIAL ESTATE ROAD 5	马西岭工业区5路
MARSILING INDUSTRIAL ESTATE ROAD 6	马西岭工业区6路
MARSILING INDUSTRIAL ESTATE ROAD 7	马西岭工业区7路
MARSILING INDUSTRIAL ESTATE ROAD 8	马西岭工业区8路
MARSILING INDUSTRIAL ESTATE ROAD 9	马西岭工业区9路
MARSILING LANE	马西岭巷
Marsiling MRT Station	马西岭地铁站
MARSILING RISE	马西岭坡
MARSILING ROAD	马西岭路
Marsiling-Yew Tee GRC	马西岭-油池集选区
MARTABAN ROAD	马达班路
MARTIA ROAD	马西雅路
Martial Court	军事法庭
MARTIN PLACE	马丁坊
MARTIN ROAD	马丁路
MARTIN WALK	马丁径
MARYLAND DRIVE	玛莉兰通道
Marymount Centre, Ahuva Good Shepherd	玛丽蒙中心
MARYMOUNT FLYOVER	玛丽蒙立交桥
MARYMOUNT LANE	玛丽蒙巷
Marymount MRT Station	玛丽蒙地铁站
MARYMOUNT ROAD	玛丽蒙路
MARYMOUNT TERRACE	玛丽蒙台
MAS Academy	新加坡金融管理局学院
MAS KUNING TERRACE	马士古宁台
Masagos Zulkifli Bin Masagos Mohamad	马善高
Mass Flow Metering	质量流率计
Mass Flow Metering System	质量流量测量系统
Mass market apartments	大众私宅
Mass participation sing-a-long	大家齐欢唱项目
Massage Establishment Licence	按摩院执照
Master in Community Leadership and Social Development	社区领导及社会发展硕士课程
Master in Public Administration and Management (MPAM)	高级公共行政与管理硕士学位
Master Plan Committee	总规划蓝图委员会
Master Plan Zoning	总规划分区图
Master Sergeant (MSG)	军士长
Master Social Worker Scheme	特级社工计划
Master Teacher (MTT)	特级教师
Master tenant	总租户
Master Warrant Officer (MWO)	准尉长
MATA ROAD	马答路
Matching Fund	配对基金
Matching Grant	配对津贴
Maternity Leave	产假
MATLOCK RISE	美乐坡
Mattar MRT Station	玛达地铁站
MATTAR ROAD	玛达路
MAUDE ROAD	茂德路
Maximum Passenger Capacity Sticker/Label (MPC)	乘客限额标贴
Maximum Speed Limit	最高时速限制
MAXWELL LINK	麦士威连路
MAXWELL ROAD	麦士威路
MAY ROAD	梅路
MAYFIELD AVENUE	梅菲路
MAYFLOWER AVENUE	美花道
MAYFLOWER CRESCENT	美花弯
MAYFLOWER DRIVE	美花通道
MAYFLOWER LANE	美花巷
MAYFLOWER PLACE	美花坊
MAYFLOWER RISE	美花坡
MAYFLOWER ROAD	美花路
MAYFLOWER TERRACE	美花台
MAYFLOWER WAY	美花大道
MAYNE ROAD	梅茵路
MAYO STREET	美瑶街
Mayor	市长
Mayor of Central Singapore District	中区市长
Mayor of North East District	东北区市长
Mayor of North West District	西北区市长
Mayor of South East District	东南区市长
Mayor of South West District	西南区市长
MCCALLUM STREET	麦卡南街
MCE TUNNEL	滨海快速公路隧道
MCNAIR ROAD	麦奈雅路
MCNALLY STREET	麦纳利街
MDA Grant Schemes	媒体发展管理局资助计划
Means-testing	支付能力调查
Mechanisation Credit (MechC) Referral Programme	机械化奖励推荐项目
Mechanisation Credit (MechC) scheme	机械使用奖励
Mechanised Parking System (MPS)	机械化停车场
MEDIA CIRCLE	媒体圈
Media Education Scheme (MES)	媒体教育计划
Media Information Centre	媒体资讯中心
MEDIA LINK	媒体连路
Media Literacy Council	媒体通识理事会
Media Manpower Plan	媒体人力计划
MEDIA WALK	媒体径
Medical Advisory Committee	医学顾问委员会
Medical Centre	医疗中心
Medical Committee	医护组
MEDICAL DRIVE	医学通道
Medical Protocol System	初报病情制度
Medical Services Branch	医疗服务科
Medical Simulation Training Centre	医疗模拟训练中心
Medical underwriting	医疗承保
Medifund	保健基金
Medifund Junior	少儿保健基金
Medisave	保健储蓄
Medisave Account	保健储蓄户头
Medisave Contribution Ceiling	保健储蓄存款顶限
Medisave contribution rate	保健储蓄缴交率
Medisave for Self Employed	自雇人士保健储蓄计划
Medisave Minimum Sum	保健储蓄户头最低存款/保健储蓄最低存款额
Medisave Required Amount	保健储蓄应有数额
Medisave Top-up	保健储蓄填补
Medisave Withdrawal Limit	保健储蓄提款顶限
MediSave withdrawals for long-term care	用保健储蓄支付长期护理
Medisave-cum-Subsidised Outpatient (MS)	保健储蓄填补兼门诊津贴计划
MediShield	健保双全
MediShield Life	终身健保
MediShield Life Council	终身健保理事会
MediShield Life Household Information e-Service	终身健保家庭住户资料电子服务
MediShield Life Premium Subsidy letters	终身健保保费津贴信
MediShield Life Review Committee	终身健保独立检讨委员会
MEDWAY DRIVE	麦威通道
Meetings, Incentives, Conferences, and Exhibitions (MICE)	展览与奖励旅游业
Meet-the-People Session (MPS)	接见选民活动
Megawatt (MW)	兆瓦
Megawatt-hour	兆瓦时
Megawatt-peak (MWp)	兆瓦峰
MEI CHIN ROAD	美景路
MEI HWAN CRESCENT	美苑弯
MEI HWAN DRIVE	美苑通道
MEI HWAN ROAD	美苑路
MEI LING STREET	美岭街
MELROSE DRIVE	美乐士通道
Melvin Yong Yik Chye	杨益财
Member in Charge	负责的议员
Member of Parliament (MP)	国会议员
Membrane technology	薄膜技术
Memorandum of Agreement	协议备忘录
Memorandum Of Understanding	谅解备忘录
Memories at Old Ford Factory	旧福特车厂资鉴馆
MENDAKI	回教社会发展理事会
MENG SUAN ROAD	明碹路
Mental Capacity	心智能力
Mental Capacity Act	心智能力法令
Mentor Access Project	导师参与计划
Mentoring Programme	教师辅导计划
Mentoring toolkit	辅导手册
Mentorship for Accelerating Productivity (MAP) Programme	促进生产力指导计划 (MAP)
Mentorship Programmes	导师计划
MERAGI CLOSE	美拉宜弄
MERAGI ROAD	美拉宜路
MERAGI TERRACE	美拉宜台
MERANTI AVENUE	麦然迪道
MERANTI CRESCENT	麦然迪弯
MERANTI LANE	麦然迪巷
MERANTI PLACE	麦然迪坊
MERANTI ROAD	麦然迪路
MERANTI VIEW	麦然迪景
MERBAU ROAD	慕宝路
Mercantile Law Amendment Act	商法修正法令
MERCHANT LOOP	马真环道
MERCHANT ROAD	马真路 (俗称同济医院前)
Merchant Shipping Act	商船法
MERDEKA BRIDGE	独立桥
Merdeka Generation Communications and Engagement Taskforce	立国一代配套宣传与联系工作小组
Merdeka Generation Package	立国一代配套
Mergers and acquisitions (M&A)	兼并与收购
MERGUI ROAD	麦桂路
Meridian LRT Station	丽园轻轨列车站
MERINO CRESCENT	麦林诺弯
Meritocracy Through Life	终身尚贤制
MERLIMAU LANE	猛里茂巷
MERLIMAU PLACE	猛里茂坊
MERLIMAU ROAD	猛里茂路
Merly	美莉
MERPATI ROAD	美芭蒂路
MERRYN AVENUE	美林道
MERRYN DRIVE	美林通道
MERRYN ROAD	美林路
MERRYN TERRACE	美林台
Message from the President	总统的文告
